C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
1, 1, 1, 0, 98351, 16.585652, 41213, 327, 0.114351
1, 1, 1, 0, 99737, 16.605841, 41731, 332, 0.116613
1, 1, 1, 0, 136341, 17.056860, 56140, 454, 0.15903
1, 1, 1, 0, 163836, 17.321893, 69299, 546, 0.192088
1, 1, 1, 0, 11285, 13.462119, 4728, 37, 0.0131128
1, 1, 1, 0, 5790, 12.499348, 2338, 19, 0.00682425
1, 1, 1, 0, 87171, 16.411561, 36393, 290, 0.102144
1, 1, 1, 0, 80221, 16.291692, 33036, 267, 0.0937989
1, 1, 1, 0, 10329, 13.334413, 4275, 34, 0.0132792
1, 1, 1, 0, 5632, 12.459432, 2410, 18, 0.00656462
1, 1, 1, 0, 98451, 16.587118, 40323, 328, 0.116426
1, 1, 1, 0, 45439, 15.471643, 18948, 151, 0.0532017
1, 1, 1, 0, 72198, 16.139671, 29982, 240, 0.0839555
1, 1, 1, 0, 77787, 16.247241, 33113, 259, 0.0913229
1, 1, 1, 0, 37323, 15.187777, 15350, 124, 0.0435719
1, 1, 1, 0, 51736, 15.658881, 21595, 172, 0.0605683
1, 1, 1, 0, 72271, 16.141129, 29891, 240, 0.0842135
1, 1, 1, 0, 6117, 12.578609, 2622, 20, 0.00714016
1, 1, 1, 0, 118979, 16.860347, 50143, 396, 0.139493
1, 1, 1, 0, 1102, 10.105909, 464, 3, 0.00115418
1, 1, 1, 0, 66838, 16.028381, 27530, 222, 0.0773499
1, 1, 1, 0, 32562, 14.990902, 13407, 108, 0.0379443
1, 1, 1, 0, 41817, 15.351802, 16851, 139, 0.0486226
1, 1, 1, 0, 6463, 12.657988, 2838, 21, 0.00754142
1, 1, 1, 0, 5258, 12.360298, 2071, 17, 0.00652361
1, 1, 1, 0, 9476, 13.210062, 3888, 31, 0.0112522
1, 1, 1, 0, 104100, 16.667611, 42278, 346, 0.121406
1, 1, 1, 0, 34426, 15.071211, 14439, 114, 0.03988
1, 1, 1, 0, 9486, 13.211584, 3967, 31, 0.0108924
1, 1, 1, 0, 11227, 13.454685, 4803, 37, 0.0152485
1, 1, 1, 1, 1814, 10.824959, 989, 6, 0.00321841
1, 1, 1, 1, 8223, 13.005449, 4340, 27, 0.0146351
1, 1, 1, 1, 6475, 12.660664, 3330, 21, 0.0108757
1, 1, 1, 1, 92774, 16.501433, 50874, 312, 0.173296
1, 1, 1, 1, 3741, 11.869208, 2030, 12, 0.00663185
1, 1, 1, 1, 14807, 13.853992, 7858, 49, 0.0264411
1, 1, 1, 1, 29798, 14.862928, 16340, 100, 0.0545588
1, 1, 1, 1, 258, 8.011227, 129, 0, 0.000311375
1, 1, 1, 1, 2214, 11.112440, 1246, 7, 0.00430894
1, 1, 1, 1, 1519, 10.568906, 806, 5, 0.00308561
1, 1, 1, 1, 21998, 14.425085, 12067, 74, 0.0475562
1, 1, 1, 1, 2322, 11.181152, 1257, 7, 0.00454903
1, 1, 1, 1, 30701, 14.905998, 16796, 103, 0.056366
1, 1, 1, 1, 9480, 13.210671, 5071, 32, 0.0203896
