C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
1, 1, 1, 0, 62759, 15.937535, 25717, 209, 0.0754042
1, 1, 1, 0, 2600, 11.344296, 1045, 8, 0.00293899
1, 1, 1, 0, 4254, 12.054604, 1707, 14, 0.00533414
1, 1, 1, 0, 12371, 13.594675, 5210, 41, 0.0154057
1, 1, 1, 0, 2329, 11.185495, 961, 7, 0.00276351
1, 1, 1, 0, 5886, 12.523072, 2497, 19, 0.00688457
1, 1, 1, 0, 5907, 12.528210, 2427, 19, 0.00711799
1, 1, 1, 0, 11733, 13.518284, 4823, 39, 0.0141537
1, 1, 1, 0, 42675, 15.381104, 17456, 142, 0.0516284
1, 1, 1, 0, 26128, 14.673309, 10881, 87, 0.0314634
1, 1, 1, 0, 28449, 14.796090, 11902, 94, 0.0340426
1, 1, 1, 0, 42567, 15.377448, 17630, 141, 0.0511589
1, 1, 1, 0, 985, 9.943980, 413, 3, 0.00112009
1, 1, 1, 0, 199147, 17.603474, 84044, 664, 0.242306
1, 1, 1, 0, 85531, 16.384160, 35862, 285, 0.103248
1, 1, 1, 0, 133622, 17.027798, 55866, 445, 0.159958
1, 1, 1, 0, 57217, 15.804156, 24090, 190, 0.0696914
1, 1, 1, 0, 24170, 14.560930, 10050, 80, 0.0289919
1, 1, 1, 0, 11714, 13.515946, 4948, 39, 0.0138531
1, 1, 1, 0, 11258, 13.458663, 4695, 37, 0.0133054
1, 1, 1, 0, 22137, 14.434172, 9220, 73, 0.0264747
1, 1, 1, 0, 39184, 15.257977, 16128, 130, 0.0477703
1, 1, 1, 0, 7470, 12.866893, 2953, 24, 0.00881433
1, 1, 1, 0, 88472, 16.432933, 36925, 295, 0.106622
1, 1, 1, 0, 12220, 13.576957, 5064, 40, 0.0143976
1, 1, 1, 0, 143103, 17.126694, 59532, 477, 0.173657
1, 1, 1, 0, 92231, 16.492964, 37978, 307, 0.109846
