C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
1, 1, 1, 0, 17037, 14.056384, 7046, 56, 0.0215981
1, 1, 1, 0, 5193, 12.342353, 2072, 17, 0.00615096
1, 1, 1, 0, 3767, 11.879200, 1525, 12, 0.00443149
1, 1, 1, 0, 1667, 10.703038, 695, 5, 0.00206852
1, 1, 1, 0, 6354, 12.633449, 2653, 21, 0.00768471
1, 1, 1, 0, 1260, 10.299208, 477, 4, 0.00158381
1, 1, 1, 0, 13263, 13.695120, 5637, 44, 0.0167336
1, 1, 1, 0, 286, 8.159871, 105, 0, 0.000120878
1, 1, 1, 0, 2286, 11.158610, 939, 7, 0.00286293
1, 1, 1, 0, 15454, 13.915693, 6526, 51, 0.0193338
1, 1, 1, 0, 1430, 10.481799, 567, 4, 0.00175619
1, 1, 1, 0, 2061, 11.009129, 860, 6, 0.00230837
1, 1, 1, 0, 1247, 10.284246, 522, 4, 0.00146914
1, 1, 1, 0, 6098, 12.574120, 2556, 20, 0.00741315
1, 1, 1, 0, 1467, 10.518653, 600, 4, 0.00191927
1, 1, 1, 0, 7635, 12.898412, 3094, 25, 0.00913119
1, 1, 1, 0, 1387, 10.437752, 561, 4, 0.00152755
1, 1, 1, 0, 7038, 12.780950, 2946, 23, 0.00891423
1, 1, 1, 0, 368, 8.523562, 149, 1, 0.000397205
1, 1, 1, 0, 1793, 10.808160, 732, 5, 0.00195408
1, 1, 1, 0, 1608, 10.651052, 673, 5, 0.0018723
1, 1, 1, 0, 13620, 13.733439, 5775, 45, 0.0169878
1, 1, 1, 0, 16702, 14.027733, 7092, 55, 0.0214486
1, 1, 1, 0, 15510, 13.920911, 6527, 51, 0.0201817
1, 1, 1, 0, 11814, 13.528210, 4884, 39, 0.0148153
1, 1, 1, 0, 2454, 11.260920, 978, 8, 0.00336194
1, 1, 1, 0, 1468, 10.519636, 631, 4, 0.00169444
1, 1, 1, 0, 496, 8.954196, 203, 1, 0.000451326
1, 1, 1, 0, 939, 9.874981, 399, 3, 0.00111675
1, 1, 1, 0, 1426, 10.477758, 565, 4, 0.00155401
1, 1, 1, 1, 763, 9.575539, 392, 2, 0.00132799
1, 1, 1, 1, 4359, 12.089781, 2180, 14, 0.00872517
1, 1, 1, 1, 1821, 10.830515, 1002, 6, 0.00364685
1, 1, 1, 1, 14371, 13.810873, 7599, 48, 0.02544
1, 1, 1, 1, 1600, 10.643856, 906, 5, 0.00253439
1, 1, 1, 1, 2231, 11.123475, 1211, 7, 0.00357223
1, 1, 1, 1, 4763, 12.217655, 2690, 16, 0.00955796
1, 1, 1, 1, 3455, 11.754470, 1923, 11, 0.00682735
1, 1, 1, 1, 5046, 12.300924, 2757, 16, 0.00991678
1, 1, 1, 1, 1525, 10.574594, 855, 5, 0.00306058
1, 1, 1, 1, 1973, 10.946175, 1060, 6, 0.00413108
1, 1, 1, 1, 2442, 11.253847, 1322, 8, 0.00472879
1, 1, 1, 1, 1212, 10.243174, 716, 4, 0.00228214
1, 1, 1, 1, 1444, 10.495855, 788, 4, 0.00265813
1, 1, 1, 1, 138, 7.108524, 76, 0, 0.00018549
1, 1, 1, 1, 1391, 10.441907, 731, 4, 0.00276828
1, 1, 1, 1, 2716, 11.407268, 1539, 9, 0.00548267
1, 1, 1, 1, 844, 9.721099, 493, 2, 0.00123143
1, 1, 1, 1, 7792, 12.927778, 4010, 26, 0.0153234
1, 1, 1, 1, 9217, 13.170082, 4843, 31, 0.0195274
1, 1, 1, 1, 3323, 11.698271, 1845, 11, 0.00692844
1, 1, 1, 1, 58, 5.857981, 22, 0, 4.41074e-05
1, 1, 1, 1, 1358, 10.407268, 695, 4, 0.00227547
1, 1, 1, 1, 4662, 12.186733, 2493, 15, 0.00913
1, 1, 1, 1, 5095, 12.314866, 2621, 17, 0.0105159
1, 1, 1, 1, 2770, 11.435670, 1462, 9, 0.00537825
1, 1, 1, 1, 354, 8.467606, 171, 1, 0.000582457
1, 1, 1, 1, 2889, 11.496354, 1583, 9, 0.00546885
1, 1, 1, 1, 10149, 13.309050, 5538, 34, 0.0208437
1, 1, 1, 1, 7923, 12.951831, 4358, 26, 0.0150137
