C_size,A_size,log2(nwords),difficulty,#points,#distinguished_points,log2(#distinguished_points),#collisions,log2(#collisions),#updates,time(sec)
16, 16, 10.000000, 4, 1572805, 102061, 16.639072, 29117, 14.829574, 19, 29.428223
16, 16, 10.000000, 4, 16838218, 1084366, 20.048420, 315315, 18.266434, 212, 268.019997
16, 16, 10.000000, 4, 5711264, 362472, 18.467510, 106276, 16.697456, 71, 62.219899
16, 16, 10.000000, 4, 14289887, 917926, 19.808018, 264900, 18.015088, 179, 377.442669
16, 16, 10.000000, 4, 4080481, 262163, 18.000105, 75215, 16.198733, 51, 190.000523
16, 16, 10.000000, 4, 1308877, 83261, 16.345353, 24012, 14.551468, 16, 11.641730
16, 16, 10.000000, 4, 1405634, 88833, 16.438808, 26063, 14.669716, 17, 25.307405
16, 16, 10.000000, 4, 2552921, 164484, 17.327588, 47495, 15.535488, 32, 26.785133
16, 16, 10.000000, 4, 1007493, 64301, 15.972554, 18506, 14.175705, 12, 38.471058
16, 16, 10.000000, 4, 1615775, 103569, 16.660233, 30364, 14.890074, 20, 27.911163
16, 16, 10.000000, 4, 8967389, 572268, 19.126331, 167156, 17.350836, 112, 105.027686
16, 16, 10.000000, 4, 5698108, 362376, 18.467128, 104965, 16.679549, 70, 94.082816
16, 16, 10.000000, 4, 2814556, 179616, 17.454556, 51791, 15.660414, 35, 63.917831
16, 16, 10.000000, 4, 1782810, 112678, 16.781846, 32340, 14.981032, 22, 15.613077
16, 16, 10.000000, 4, 193672, 12966, 13.662446, 3574, 11.803324, 2, 5.578132
16, 16, 10.000000, 4, 4942624, 321143, 18.292856, 91552, 16.482304, 62, 142.556732
16, 16, 10.000000, 4, 2797279, 182267, 17.475694, 53183, 15.698678, 35, 35.356970
16, 16, 10.000000, 4, 3702049, 240691, 17.876823, 68822, 16.070582, 47, 46.672829
16, 16, 10.000000, 4, 3305363, 212935, 17.700054, 62867, 15.940015, 41, 42.106150
16, 16, 10.000000, 4, 121192, 8513, 13.055452, 2029, 10.986553, 1, 2.168408
16, 16, 10.000000, 4, 5724772, 361351, 18.463041, 106375, 16.698800, 70, 118.539174
16, 16, 10.000000, 4, 1702738, 113472, 16.791977, 32663, 14.995370, 22, 15.112207
16, 16, 10.000000, 4, 233606, 15024, 13.874981, 4207, 12.038576, 2, 13.500123
16, 16, 10.000000, 4, 891433, 57830, 15.819530, 16547, 14.014282, 11, 16.089744
16, 16, 10.000000, 4, 1112663, 73621, 16.167830, 20736, 14.339850, 14, 49.058720
16, 16, 10.000000, 4, 8510, 584, 9.189825, 143, 7.159871, 0, 0.631921
16, 16, 10.000000, 4, 2481604, 161261, 17.299038, 45895, 15.486049, 31, 90.922927
16, 16, 10.000000, 4, 7911, 549, 9.100662, 123, 6.942515, 0, 3.766849
16, 16, 10.000000, 4, 5748407, 372406, 18.506517, 105667, 16.689165, 73, 78.324574
16, 16, 10.000000, 4, 3842765, 249744, 17.930090, 72042, 16.136551, 49, 49.702707
16, 16, 10.000000, 4, 517989, 34590, 15.078067, 9787, 13.256651, 6, 22.229491
16, 16, 10.000000, 4, 172051, 12408, 13.598983, 2984, 11.543032, 2, 2.789047
16, 16, 10.000000, 4, 82735, 5794, 12.500344, 1419, 10.470659, 1, 1.398468
16, 16, 10.000000, 4, 1919669, 126674, 16.950761, 35702, 15.123717, 24, 24.281788
16, 16, 10.000000, 4, 2800926, 184211, 17.491000, 52452, 15.678710, 36, 50.476328
16, 16, 10.000000, 4, 3273290, 210727, 17.685016, 61412, 15.906233, 41, 36.291007
16, 16, 10.000000, 4, 740400, 47749, 15.543183, 13592, 13.730470, 9, 23.655132
16, 16, 10.000000, 4, 8042842, 516528, 18.978487, 150174, 17.196276, 101, 93.369377
16, 16, 10.000000, 4, 4688241, 303972, 18.213579, 88506, 16.433488, 59, 55.586963
16, 16, 10.000000, 4, 181574, 12548, 13.615170, 3169, 11.629812, 2, 6.818334
16, 16, 10.000000, 4, 274544, 17184, 14.068778, 4799, 12.228518, 3, 17.058238
16, 16, 10.000000, 4, 1017155, 65282, 15.994398, 18790, 14.197677, 12, 32.240420
16, 16, 10.000000, 4, 1279789, 79826, 16.284571, 23739, 14.534972, 15, 83.043014
16, 16, 10.000000, 4, 5045231, 321001, 18.292218, 93088, 16.506308, 62, 139.170038
16, 16, 10.000000, 4, 4570061, 291032, 18.150818, 85136, 16.377482, 57, 45.597356
16, 16, 10.000000, 4, 2071877, 133045, 17.021555, 38194, 15.221058, 26, 10.601317
16, 16, 10.000000, 4, 7036117, 452126, 18.786365, 130793, 16.996926, 88, 204.125195
16, 16, 10.000000, 4, 2430070, 157455, 17.264580, 45002, 15.457701, 30, 37.378762
16, 16, 10.000000, 4, 4787442, 313121, 18.256361, 89154, 16.444012, 61, 45.441955
16, 16, 10.000000, 4, 2901608, 184107, 17.490185, 53494, 15.707089, 36, 95.733263
16, 16, 10.000000, 4, 2054937, 133683, 17.028456, 38086, 15.216973, 26, 16.313453
16, 16, 10.000000, 4, 1594204, 105510, 16.687020, 29727, 14.859486, 20, 17.127590
16, 16, 10.000000, 4, 154917, 10477, 13.354938, 2872, 11.487840, 2, 1.297769
16, 16, 10.000000, 4, 4388585, 271046, 18.048178, 80260, 16.292394, 53, 69.370732
16, 16, 10.000000, 4, 145047, 9938, 13.278740, 2703, 11.400346, 1, 2.399862
16, 16, 10.000000, 4, 1276070, 82764, 16.336716, 23536, 14.522582, 16, 66.431726
16, 16, 10.000000, 4, 4585311, 290177, 18.146574, 84147, 16.360624, 56, 28.742673
16, 16, 10.000000, 4, 3056315, 199651, 17.607121, 57208, 15.803929, 39, 57.919043
16, 16, 10.000000, 4, 5231255, 337245, 18.363438, 96497, 16.558196, 66, 65.690539
16, 16, 10.000000, 4, 1950911, 126236, 16.945764, 36370, 15.150461, 24, 25.559485
16, 16, 10.000000, 4, 1733055, 112790, 16.783280, 31445, 14.940543, 22, 31.406363
16, 16, 10.000000, 4, 3861232, 247381, 17.916375, 70589, 16.107156, 48, 44.940307
16, 16, 10.000000, 4, 8165790, 523273, 18.997204, 152207, 17.215675, 102, 91.936448
16, 16, 10.000000, 4, 349654, 21897, 14.418446, 5914, 12.529919, 4, 6.403028
16, 16, 10.000000, 4, 3958735, 255059, 17.960471, 73853, 16.172369, 49, 51.928017
16, 16, 10.000000, 4, 80031, 5612, 12.454299, 1318, 10.364135, 1, 1.624220
16, 16, 10.000000, 4, 288407, 18811, 14.199289, 5267, 12.362766, 3, 5.925206
16, 16, 10.000000, 4, 1315356, 85601, 16.385340, 24910, 14.604437, 16, 20.109425
16, 16, 10.000000, 4, 1054202, 70037, 16.095830, 19031, 14.216064, 13, 22.602500
16, 16, 10.000000, 4, 199101, 13563, 13.727389, 3607, 11.816584, 2, 2.288752
16, 16, 10.000000, 4, 145463, 10546, 13.364408, 2582, 11.334273, 2, 3.423982
16, 16, 10.000000, 4, 669296, 41973, 15.357174, 12031, 13.554469, 8, 5.999897
16, 16, 10.000000, 4, 270144, 18280, 14.157978, 5080, 12.310613, 3, 8.088092
16, 16, 10.000000, 4, 8790965, 560709, 19.096893, 163580, 17.319637, 109, 109.125689
16, 16, 10.000000, 4, 2064914, 133351, 17.024869, 37981, 15.212990, 26, 20.440246
16, 16, 10.000000, 4, 301387, 20941, 14.354043, 5282, 12.366869, 4, 9.397060
16, 16, 10.000000, 4, 3436572, 219737, 17.745418, 63880, 15.963077, 43, 32.463961
16, 16, 10.000000, 4, 638698, 40335, 15.299745, 11998, 13.550506, 7, 45.676176
16, 16, 10.000000, 4, 2006153, 127990, 16.965672, 37354, 15.188975, 25, 14.995348
16, 16, 10.000000, 4, 470411, 30409, 14.892211, 8691, 13.085306, 5, 8.861892
16, 16, 10.000000, 4, 162220, 10938, 13.417061, 2944, 11.523562, 2, 2.818821
16, 16, 10.000000, 4, 28722, 2021, 10.980854, 502, 8.971544, 0, 13.513759
16, 16, 10.000000, 4, 5435264, 347558, 18.406894, 100749, 16.620406, 68, 42.035250
16, 16, 10.000000, 4, 558794, 36331, 15.148913, 10360, 13.338736, 7, 133.835811
16, 16, 10.000000, 4, 3229290, 211368, 17.689397, 60455, 15.883574, 41, 179.612792
