C_size,A_size,log2(nbytes),difficulty,#distinguished_points,log2(#distinguished_points),#collisions,log2(#collisions),#updates,time(sec)
16, 16, 12.321928, 0, 7797864, 22.894648, 18347, 14.163257, 24368, 273.760264
16, 16, 12.321928, 0, 18381067, 24.131717, 43066, 15.394262, 57440, 993.986540
16, 16, 12.321928, 0, 158389580, 27.238902, 371234, 18.501969, 494967, 5693.085064
16, 16, 12.321928, 0, 21840614, 24.380510, 51282, 15.646165, 68251, 873.149832
16, 16, 12.321928, 0, 95758966, 26.512904, 225103, 17.780226, 299246, 3122.967048
16, 16, 12.321928, 0, 12665501, 23.594401, 29631, 14.854820, 39579, 541.402702
16, 16, 12.321928, 0, 83142237, 26.309078, 194838, 17.571916, 259819, 3885.174567
16, 16, 12.321928, 0, 8606835, 23.037051, 20161, 14.299280, 26896, 240.922921
16, 16, 12.321928, 0, 19727163, 24.233680, 46266, 15.497665, 61647, 854.799560
16, 16, 12.321928, 0, 17828382, 24.087672, 41774, 15.350318, 55713, 705.805308
16, 16, 12.321928, 0, 53100982, 25.662235, 124819, 16.929478, 165940, 1604.732954
16, 16, 12.321928, 0, 3336725, 21.670001, 7866, 12.941414, 10427, 191.091697
16, 16, 12.321928, 0, 28099383, 24.744035, 66151, 16.013475, 87810, 1190.162907
16, 16, 12.321928, 0, 45770863, 25.447926, 107801, 16.718011, 143033, 2728.440541
16, 16, 12.321928, 0, 27235112, 24.698964, 63993, 15.965626, 85109, 1110.002194
16, 16, 12.321928, 0, 146628740, 27.127593, 344230, 18.393013, 458214, 5167.798731
16, 16, 12.321928, 0, 133605269, 26.993402, 314573, 18.263035, 417516, 4617.135061
16, 16, 12.321928, 0, 17261127, 24.041023, 40440, 15.303495, 53941, 681.141078
16, 16, 12.321928, 0, 2537790, 21.275141, 6096, 12.573647, 7930, 69.892688
16, 16, 12.321928, 0, 55031423, 25.713752, 129515, 16.982760, 171973, 1639.293694
16, 16, 12.321928, 0, 47735874, 25.508571, 112140, 16.774941, 149174, 5392.639734
16, 16, 12.321928, 0, 105305049, 26.649999, 247270, 17.915728, 329078, 5362.532371
16, 16, 12.321928, 0, 5845685, 22.478941, 13514, 13.722167, 18267, 225.457723
16, 16, 12.321928, 0, 850447, 19.697862, 2072, 11.016808, 2657, 29.851933
16, 16, 12.321928, 0, 63448501, 25.919083, 148754, 17.182569, 198276, 2853.904939
16, 16, 12.321928, 0, 113820890, 26.762190, 267283, 18.028009, 355690, 3725.632244
16, 16, 12.321928, 0, 40148943, 25.258859, 94506, 16.528118, 125465, 2460.556406
16, 16, 12.321928, 0, 27630148, 24.719740, 65011, 15.988396, 86344, 1924.125966
16, 16, 12.321928, 0, 25336888, 24.594736, 59340, 15.856717, 79177, 1008.516943
16, 16, 12.321928, 0, 61532686, 25.874850, 144324, 17.138952, 192289, 1797.627374
16, 16, 12.321928, 0, 8584757, 23.033346, 20042, 14.290739, 26827, 434.125878
16, 16, 12.321928, 0, 76339489, 26.185926, 180233, 17.459504, 238560, 3636.098694
16, 16, 12.321928, 1, 5756263, 22.456701, 27976, 14.771902, 17988, 528.320580
16, 16, 12.321928, 1, 34315491, 25.032357, 165908, 17.340024, 107236, 4744.859274
16, 16, 12.321928, 1, 7263593, 22.792252, 34803, 15.086924, 22698, 476.593649
16, 16, 12.321928, 1, 3590018, 21.775560, 17300, 14.078484, 11218, 204.139872
16, 16, 12.321928, 1, 6303384, 22.587695, 30563, 14.899499, 19698, 630.729447
16, 16, 12.321928, 1, 2124212, 21.018496, 10288, 13.328675, 6638, 152.851931
16, 16, 12.321928, 1, 4277895, 22.028470, 20870, 14.349143, 13368, 386.485836
16, 16, 12.321928, 1, 17627966, 24.071363, 84732, 16.370619, 55087, 1251.457014
16, 16, 12.321928, 1, 10490255, 23.322546, 50590, 15.626565, 32782, 1318.154157
16, 16, 12.321928, 1, 6550017, 22.643067, 31665, 14.950601, 20468, 850.579075
16, 16, 12.321928, 1, 13550592, 23.691853, 65225, 15.993137, 42345, 916.474474
16, 16, 12.321928, 1, 83562413, 26.316351, 403805, 18.623299, 261133, 20034.733809
16, 16, 12.321928, 1, 2286120, 21.124470, 10912, 13.413628, 7144, 195.026106
16, 16, 12.321928, 1, 64132884, 25.934561, 308808, 18.236351, 200415, 13411.422743
16, 16, 12.321928, 1, 67497675, 26.008334, 326124, 18.315061, 210930, 5479.483428
16, 16, 12.321928, 1, 180843814, 27.430169, 873049, 19.735703, 565138, 17889.940075
16, 16, 12.321928, 1, 52002426, 25.632076, 251147, 17.938173, 162508, 8904.788084
16, 16, 12.321928, 1, 110944419, 26.725262, 535286, 19.029950, 346702, 10540.855664
16, 16, 12.321928, 1, 9515, 13.215988, 55, 5.781360, 29, 3.412326
16, 16, 12.321928, 1, 16636713, 23.987867, 80225, 16.291764, 51989, 1550.946465
16, 16, 12.321928, 1, 60092496, 25.840682, 289809, 18.144743, 187789, 10890.693744
16, 16, 12.321928, 1, 4700272, 22.164313, 22613, 14.464865, 14688, 338.340819
16, 16, 12.321928, 1, 3309505, 21.658184, 16271, 13.990015, 10342, 406.801331
16, 16, 12.321928, 1, 16012024, 23.932652, 77490, 16.241723, 50037, 1503.598995
16, 16, 12.321928, 1, 208791815, 27.637490, 1007858, 19.942861, 652476, 32860.340550
16, 16, 12.321928, 1, 12982296, 23.630042, 62649, 15.935004, 40569, 1434.849276
16, 16, 12.321928, 1, 11671340, 23.476467, 56604, 15.788616, 36473, 1148.406651
16, 16, 12.321928, 1, 51234641, 25.610616, 247199, 17.915313, 160108, 8853.897135
16, 16, 12.321928, 1, 22920325, 24.450124, 110614, 16.755174, 71626, 1586.073406
16, 16, 12.321928, 1, 66948020, 25.996538, 323106, 18.301648, 209213, 8762.245695
16, 16, 12.321928, 1, 21610385, 24.365221, 104530, 16.673558, 67532, 3423.159596
16, 16, 12.321928, 1, 1855404, 20.823302, 8977, 13.132018, 5798, 130.411484
16, 16, 12.321928, 2, 4971568, 22.245270, 44742, 15.449342, 15537, 987.440372
16, 16, 12.321928, 2, 16437295, 23.970470, 147079, 17.166232, 51369, 6231.800565
16, 16, 12.321928, 2, 11381094, 23.440136, 101724, 16.634301, 35568, 3059.026164
16, 16, 12.321928, 2, 6076598, 22.534832, 54898, 15.744466, 18990, 2287.707257
16, 16, 12.321928, 2, 8097079, 22.948970, 72695, 16.149569, 25304, 1618.746908
16, 16, 12.321928, 2, 36485077, 25.120803, 326995, 18.318909, 114022, 7932.362223
16, 16, 12.321928, 2, 10799132, 23.364412, 96441, 16.557359, 33749, 3192.422218
16, 16, 12.321928, 2, 33364053, 24.991791, 299518, 18.192283, 104269, 11711.522999
16, 16, 12.321928, 2, 1878919, 20.841471, 16656, 14.023754, 5871, 815.384722
16, 16, 12.321928, 2, 9310681, 23.150455, 83747, 16.353750, 29097, 1795.956756
16, 16, 12.321928, 2, 51085042, 25.606398, 457009, 18.801863, 159650, 17168.770071
16, 16, 12.321928, 2, 46628067, 25.474695, 417492, 18.671389, 145721, 10317.859335
16, 16, 12.321928, 2, 26591428, 24.664458, 237886, 17.859911, 83103, 11500.461580
16, 16, 12.321928, 2, 58597050, 25.804325, 525506, 19.003348, 183127, 13487.462383
16, 16, 12.321928, 2, 64911960, 25.951981, 580689, 19.147406, 202862, 24115.495198
16, 16, 12.321928, 2, 6485143, 22.628707, 58487, 15.835828, 20267, 1338.496174
16, 16, 12.321928, 2, 717075, 19.451764, 6455, 12.656201, 2240, 171.302997
16, 16, 12.321928, 2, 9960494, 23.247786, 89295, 16.446292, 31128, 2745.665835
